workload,workload_type,experiment,cpu_type,rob,issue_width,ipc,cpi,branch_count,branch_mispredict,branch_mispredict_rate,l1d_miss_rate,squashing_cycles,cost,stats_path
branch1,branch,baseline_o3,O3CPU,128.0,4.0,0.760237,1.315379,16971601.0,67730.0,0.003990784369724459,0.000126,67574.0,192.0,results/branch1/baseline_o3/stats.txt
branch1,branch,baseline_timing,TimingSimpleCPU,,,0.287608,3.476954,,,,5.1e-05,,,results/branch1/baseline_timing/stats.txt
branch1,branch,issue_2,O3CPU,128.0,2.0,0.72746,1.374646,16975662.0,67579.0,0.003980934587411083,0.00012,67398.0,160.0,results/branch1/issue_2/stats.txt
branch1,branch,issue_4,O3CPU,128.0,4.0,0.760464,1.314986,16972699.0,67706.0,0.003989112161831185,0.000125,67554.0,192.0,results/branch1/issue_4/stats.txt
branch1,branch,issue_6,O3CPU,128.0,6.0,0.760236,1.315381,16971649.0,67728.0,0.003990655239216884,0.000126,67571.0,224.0,results/branch1/issue_6/stats.txt
branch1,branch,issue_8,O3CPU,128.0,8.0,0.760237,1.315379,16971601.0,67730.0,0.003990784369724459,0.000126,67574.0,256.0,results/branch1/issue_8/stats.txt
branch1,branch,rob_128,O3CPU,128.0,4.0,0.760721,1.314542,17002998.0,67679.0,0.003980415689044956,0.000124,67513.0,192.0,results/branch1/rob_128/stats.txt
branch1,branch,rob_192,O3CPU,192.0,4.0,0.760237,1.315379,16971601.0,67730.0,0.003990784369724459,0.000126,67574.0,256.0,results/branch1/rob_192/stats.txt
branch1,branch,rob_32,O3CPU,32.0,4.0,0.713372,1.401792,16452066.0,67508.0,0.004103314440873262,8.3e-05,67260.0,96.0,results/branch1/rob_32/stats.txt
branch1,branch,rob_64,O3CPU,64.0,4.0,0.759497,1.316661,16646427.0,67589.0,0.004060270711546688,0.000103,67371.0,128.0,results/branch1/rob_64/stats.txt
compute1,compute,baseline_o3,O3CPU,128.0,4.0,0.102405,9.765154,536194.0,3232.0,0.0060276690899189475,0.375898,3345.0,192.0,results/compute1/baseline_o3/stats.txt
compute1,compute,baseline_timing,TimingSimpleCPU,,,0.053499,18.691945,,,,0.12373,,,results/compute1/baseline_timing/stats.txt
compute1,compute,iq_16,O3CPU,,,,,,,,,,,results/compute1/iq_16/stats.txt
compute1,compute,issue_2,O3CPU,128.0,2.0,0.102599,9.746695,540180.0,3087.0,0.005714761746084638,0.38463,3125.0,160.0,results/compute1/issue_2/stats.txt
compute1,compute,issue_4,O3CPU,128.0,4.0,0.102423,9.763409,537291.0,3214.0,0.005981860853801757,0.370641,3278.0,192.0,results/compute1/issue_4/stats.txt
compute1,compute,issue_6,O3CPU,128.0,6.0,0.102405,9.765154,536264.0,3232.0,0.006026882281861173,0.375911,3345.0,224.0,results/compute1/issue_6/stats.txt
